ce_1,ce_2
1.21875,12.21875
0.421875,12.171875
3.71875,8.59375
2.359375,12.5
-0.875,16.4375
-0.75,16.0
-0.5625,16.8125
3.0234375,11.25
1.65625,13.625
0.375,15.875
1.7109375,11.4140625
0.466796875,15.51171875
0.8125,14.5625
0.390625,14.1875
0.40625,14.125
0.6875,14.4375
2.6875,12.65625
5.78125,8.84375
2.90625,10.8125
0.75,14.625
2.9140625,12.140625
1.90625,12.53125
-0.53125,9.28125
3.828125,10.3671875
1.375,13.3125
-0.8125,16.53125
0.78125,13.8125
0.78125,15.21875
-0.78125,16.21875
-0.15625,14.90625
3.765625,8.421875
0.8125,15.125
1.46875,12.703125
2.40625,13.125
0.8125,14.140625
-0.5625,15.65625
0.3125,11.59375
0.71875,16.375
0.59375,16.53125
0.140625,15.71875
2.45703125,13.79296875
-0.15625,14.375
1.65625,13.625
0.15625,13.75
4.03125,10.84375
-0.390625,15.5
3.328125,9.875
6.5625,6.0625
0.09375,15.6875
1.1875,14.8125
1.1875,13.546875
-0.71875,15.875
3.96875,11.5
3.1875,6.9375
-0.625,15.71875
5.34375,9.9375
0.6875,14.875
1.640625,13.09375
1.4375,13.0625
0.359375,15.3125
0.5,12.5625
2.1015625,12.76171875
1.3125,12.0625
1.34375,14.75
-0.328125,15.34375
0.359375,14.46875
0.328125,15.765625
1.96875,12.59375
1.671875,13.4375
-0.09375,15.6875
-0.90625,15.7421875
0.96875,13.609375
0.75,14.4375
-0.125,15.21875
1.6875,14.859375
0.75,16.21875
5.6875,7.0
-0.125,16.875
0.8125,14.1875
2.875,11.390625
2.03125,12.890625
6.9375,5.28125
-0.71875,17.125
0.9453125,14.953125
2.28125,13.65625
-0.296875,16.484375
8.125,2.5
-0.4765625,15.6015625
-0.1875,15.3828125
-0.78125,13.0625
1.21875,14.671875
-0.8828125,16.7890625
1.09375,12.828125
1.1875,15.3125
1.7421875,13.3828125
-0.046875,15.796875
3.21875,11.1875
0.71875,15.0625
-0.671875,16.203125
-0.2265625,14.359375
-0.8125,15.9375
1.6953125,12.5546875
1.125,13.1875
-0.8203125,15.859375
0.6875,15.0625
4.375,6.375
0.34375,15.8671875
0.828125,14.90625
2.46875,13.03125
0.875,13.625
1.09375,15.46875
1.375,14.078125
-0.125,16.2578125
1.70703125,11.35546875
-0.03125,15.3125
-0.109375,16.078125
2.921875,11.203125
1.125,13.8125
1.0,11.28125
-0.328125,15.828125
3.5625,9.1875
0.34375,15.21875
0.765625,15.75
1.28125,12.9375
-0.25,14.0
-0.2421875,15.9140625
3.53125,9.90625
3.25,11.3125
1.34375,11.28125
0.25,14.59375
-0.078125,16.59375
-0.46484375,15.57421875
-0.1796875,15.359375
0.3125,16.25
2.9375,12.5
0.21875,15.2421875
0.03125,16.1171875
-1.28125,16.3125
1.109375,15.296875
1.25,14.625
1.623046875,13.34765625
0.28125,16.46875
3.09375,8.82421875
1.703125,9.90625
3.4375,13.0625
6.265625,5.359375
0.28125,13.875
-0.9453125,16.453125
